"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Token will be created","9976","createAuthTokenPOSTMethod","All Test Suite","Fri Aug 16 11:02:11 IST 2024","passed","Fri Aug 16 11:02:21 IST 2024","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","Ecom.Booking_End to End Testing","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","createAuthTokenPOSTMethod"
"Again partially updating the booking details","1531","partiallyUpdatePUTMethod","All Test Suite","Fri Aug 16 11:02:28 IST 2024","passed","Fri Aug 16 11:02:29 IST 2024","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","Ecom.Booking_End to End Testing","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","partiallyUpdatePUTMethod"
"Deleting the existing booking details","1788","deleteBookingDELETEMethod","All Test Suite","Fri Aug 16 11:02:30 IST 2024","passed","Fri Aug 16 11:02:31 IST 2024","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","Ecom.Booking_End to End Testing","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","deleteBookingDELETEMethod"
"Fully updating the new booking details","2331","fullyUpdatePUTMethod","All Test Suite","Fri Aug 16 11:02:26 IST 2024","passed","Fri Aug 16 11:02:28 IST 2024","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","Ecom.Booking_End to End Testing","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","fullyUpdatePUTMethod"
"Getting the newly created bookingID details","2455","getParticularBookingGETMethod","All Test Suite","Fri Aug 16 11:02:23 IST 2024","passed","Fri Aug 16 11:02:26 IST 2024","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","Ecom.Booking_End to End Testing","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","getParticularBookingGETMethod"
"Checking the deleted bookingID","2022","checkParticularBookingIDGETMethod","All Test Suite","Fri Aug 16 11:02:31 IST 2024","passed","Fri Aug 16 11:02:33 IST 2024","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","Ecom.Booking_End to End Testing","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","checkParticularBookingIDGETMethod"
"BookingID will be created","1719","createBookingPOSTMethod","All Test Suite","Fri Aug 16 11:02:21 IST 2024","passed","Fri Aug 16 11:02:23 IST 2024","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","Ecom.Booking_End to End Testing","org.ecom_booking.CRUD.EcomBookingEndToEndTesting","createBookingPOSTMethod"
